reaction_progress_eps,distance_from_edge_um,delta18O_CZ_increment_permil
0.01,3.4459164584448034,-38.81924058710913
0.02,6.9151165776359935,-38.81924058710913
0.03,10.407997701907117,-38.81924058710913
0.04,13.924968137285775,-38.81924058710913
0.05,17.466447571652527,-38.81924058710913
0.06,21.032867515611564,-38.81924058710913
0.07,24.624671765329232,-38.81924058710913
0.08,28.242316888681675,-38.81924058710913
0.09,31.88627273615477,-38.81924058710913
0.1,35.557022978041225,-38.81924058710913
0.11,39.255065669598906,-38.81924058710913
0.12,42.98091384595581,-38.81924058710913
0.13,46.735096148686345,-38.81924058710913
0.14,50.518157486128814,-38.81924058710913
0.15,54.330659729675546,-38.81924058710913
0.16,58.173182448446745,-38.81924058710913
0.17,62.04632368494334,-38.81924058710913
0.18,65.95070077449166,-38.81924058710913
0.19,69.88695121151855,-38.81924058710913
0.2,73.85573356594455,-38.81924058710913
0.21,77.85772845326444,-38.81924058710913
0.22,81.89363956217791,-38.81924058710913
0.23,85.96419474397501,-38.81924058710913
0.24,90.07014716823775,-38.81924058710913
0.25,94.21227654982586,-38.81924058710913
0.26,98.3913904525581,-38.81924058710913
0.27,102.60832567548894,-38.81924058710913
0.28,106.86394972822241,-38.81924058710913
0.29,111.15916240230395,-38.81924058710913
0.3,115.49489744639638,-38.81924058710913
0.31,119.87212435368308,-38.81924058710913
0.32,124.2918502707603,-38.81924058710913
0.33,128.7551220381948,-38.81924058710913
0.34,133.26302837394095,-38.81924058710913
0.35000000000000003,137.8167022119446,-38.81924058710913
0.36,142.41732320953855,-38.81924058710913
0.37,147.0661204386528,-38.81924058710913
0.38,151.7643752774653,-38.81924058710913
0.39,156.51342452091544,-38.81924058710913
0.4,161.31466373052683,-38.81924058710913
0.41000000000000003,166.16955084627182,-38.81924058710913
0.42,171.0796100857953,-38.81924058710913
0.43,176.04643615923885,-38.81924058710913
0.44,181.07169883123387,-38.81924058710913
0.45,186.15714786541156,-38.81924058710913
0.46,191.3046183910916,-38.81924058710913
0.47000000000000003,196.51603673673594,-38.81924058710913
0.48,201.7934267804046,-38.81924058710913
0.49,207.13891687392947,-38.81924058710913
0.5,212.55474740499173,-38.81924058710913
0.51,218.04327906990287,-38.81924058710913
0.52,223.60700193986727,-38.81924058710913
0.53,229.24854541508665,-38.81924058710913
0.54,234.97068917454803,-38.81924058710913
0.55,240.77637524509186,-38.81924058710913
0.56,246.6687213318043,-38.81924058710913
0.5700000000000001,252.6510355734797,-38.81924058710913
0.58,258.7268329124931,-38.81924058710913
0.59,264.8998532987258,-38.81924058710913
0.6,271.1740819832237,-38.81924058710913
0.61,277.5537722002447,-38.81924058710913
0.62,284.0434705878873,-38.81924058710913
0.63,290.64804575949415,-38.81924058710913
0.64,297.3727205130204,-38.81924058710913
0.65,304.22310825667626,-38.81924058710913
0.66,311.20525434043117,-38.81924058710913
0.67,318.3256831196228,-38.81924058710913
0.68,325.59145174565015,-38.81924058710913
0.6900000000000001,333.01021188836444,-38.81924058710913
0.7000000000000001,340.59028085685907,-38.81924058710913
0.71,348.3407239152422,-38.81924058710913
0.72,356.27145000817666,-38.81924058710913
0.73,364.3933236451888,-38.81924058710913
0.74,372.7182963807328,-38.81924058710913
0.75,381.25956222075126,-38.81924058710913
0.76,390.0317424583921,-38.81924058710913
0.77,399.0511069936771,-38.81924058710913
0.78,408.3358412698702,-38.81924058710913
0.79,417.90637077383786,-38.81924058710913
0.8,427.78575890833184,-38.81924058710913
0.81,438.00019941294727,-38.81924058710913
0.8200000000000001,448.5796320894989,-38.81924058710913
0.8300000000000001,459.5585214640076,-38.81924058710913
0.84,470.9768539114408,-38.81924058710913
0.85,482.8814324661531,-38.81924058710913
0.86,495.3275846695995,-38.81924058710913
0.87,508.38145528627706,-38.81924058710913
0.88,522.1231465447125,-38.81924058710913
0.89,536.6511193990476,-38.81924058710913
0.9,552.088529259042,-38.81924058710913
0.91,568.592637340181,-38.81924058710913
0.92,586.3693240808391,-38.81924058710913
0.93,605.6965118916868,-38.81924058710913
0.9400000000000001,626.9641634460036,-38.81924058710913
0.9500000000000001,650.7477034676817,-38.81924058710913
0.96,677.9563883488945,-38.81924058710913
0.97,710.1765337052657,-38.81924058710913
0.98,750.6490894317901,-38.81924058710913
0.99,808.3453245164891,-38.81924058710913
1.0,1030.3213249521393,-38.81924058710913
